"year"|"categ"|"year.1"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To DR. FRED KOLB, JR. and PAUL PREO for the concept and development of a 35mm projection test film. [Film]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To PETER BALDWIN for the design; DR. PAUL KIANKHOOY and the LIGHTMAKER COMPANY for the development of the Lightmaker AC/DC HMI Ballast. [Lighting]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To the ALL-UNION CINEMA AND PHOTO RESEARCH INSTITUTE (NIKFI) for continuously improving and providing 3-D presentations to Soviet motion picture audiences for the last 25 years. [Systems]"
"1990 (63rd)"|"MEDAL OF COMMENDATION"|"To Roderick T. Ryan in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"1990 (63rd)"|"MEDAL OF COMMENDATION"|"To Don Trumbull in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"1990 (63rd)"|"MEDAL OF COMMENDATION"|"To Geoffrey H. Williamson in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"1991 (64th)"|"ACTOR IN A LEADING ROLE"|"Anthony Hopkins -- The Silence of the Lambs  {\"Dr. Hannibal Lecter\"}"
"1991 (64th)"|"ACTOR IN A SUPPORTING ROLE"|"Jack Palance -- City Slickers  {\"Curly\"}"
"1991 (64th)"|"ACTRESS IN A LEADING ROLE"|"Jodie Foster -- The Silence of the Lambs  {\"Clarice Starling\"}"
"1991 (64th)"|"ACTRESS IN A SUPPORTING ROLE"|"Mercedes Ruehl -- The Fisher King  {\"Anne\"}"
"1991 (64th)"|"ART DIRECTION"|"Bugsy  -- Art Direction: Dennis Gassner; Set Decoration: Nancy Haigh"
"1991 (64th)"|"COSTUME DESIGN"|"Bugsy  -- Albert Wolsky"
"1991 (64th)"|"DIRECTING"|"The Silence of the Lambs  -- Jonathan Demme"
"1991 (64th)"|"DOCUMENTARY (Feature)"|"In the Shadow of the Stars  -- Allie Light and Irving Saraf, Producers"
"1991 (64th)"|"DOCUMENTARY (Short Subject)"|"Deadly Deception: General Electric, Nuclear Weapons and Our Environment  -- Debra Chasnoff, Producer"
"1991 (64th)"|"FOREIGN LANGUAGE FILM"|"Mediterraneo  -- Italy"
"1991 (64th)"|"MAKEUP"|"Terminator 2: Judgment Day --  Stan Winston, Jeff Dawn"
"1991 (64th)"|"MUSIC (Original Score)"|"Beauty and the Beast --  Alan Menken"
"1991 (64th)"|"MUSIC (Original Song)"|"\"Beauty And The Beast\" from Beauty and the Beast  -- Music by Alan Menken; Lyric by Howard Ashman"
"1991 (64th)"|"BEST PICTURE"|"The Silence of the Lambs  -- Edward Saxon, Kenneth Utt and Ron Bozman, Producers"
"1991 (64th)"|"SHORT FILM (Animated)"|"Manipulation --  Daniel Greaves"
"1991 (64th)"|"SHORT FILM (Live Action)"|"Session Man --  Seth Winston, Rob Fried"
"1991 (64th)"|"SOUND"|"Terminator 2: Judgment Day --  Tom Johnson, Gary Rydstrom, Gary Summers, Lee Orloff"
"1991 (64th)"|"SOUND EFFECTS EDITING"|"Terminator 2: Judgment Day  -- Gary Rydstrom, Gloria S. Borders"
"1991 (64th)"|"VISUAL EFFECTS"|"Terminator 2: Judgment Day  -- Dennis Muren, Stan Winston, Gene Warren, Jr., Robert Skotak"
"1991 (64th)"|"WRITING (Screenplay Based on Material Previously Produced or Published)"|"The Silence of the Lambs  -- Ted Tally"
"1991 (64th)"|"WRITING (Screenplay Written Directly for the Screen)"|"Thelma & Louise  -- Callie Khouri"
"1991 (64th)"|"HONORARY AWARD"|"To Satyajit Ray, in recognition of his rare mastery of the art of motion pictures, and of his profound humanitarian outlook, which has had an indelible influence on filmmakers and audiences throughout the world."
"1991 (64th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"George Lucas"
"1991 (64th)"|"GORDON E. SAWYER AWARD"|"Ray Harryhausen"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To IAIN NEIL for the optical design; ALBERT SAIKI for the mechanical design; and PANAVISION, INCORPORATED, for the concept and development of the Primo Zoom Lens for 35mm cinematography. [Lenses and Filters]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To GEORG THOMA for the design; HEINZ FEIERLEIN and the ENGINEERING DEPARTMENT OF SACHTLER AG for the development of a range of fluid tripod heads. [Stage Operations]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To HARRY J. BAKER for the design and development of the first full fluid-action tripod head with adjustable degrees of viscous drag. [Stage Operations]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To GUIDO CARTONI for his pioneering work in developing the technology to achieve selectable and repeatable viscous drag modules in fluid tripod heads. [Stage Operations]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To RAY FEENEY, RICHARD KEENEY and RICHARD J. LUNDELL for the software development and adaptation of the Solitaire Film Recorder that provides a flexible, cost-effective film recording system. [Systems]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To FAZ FAZAKAS, BRIAN HENSON, DAVE HOUSMAN, PETER MILLER and JOHN STEPHENSON for the development of the Henson Performance Control System. [Systems]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To MARIO CELSO for his pioneering work in the design, development and manufacture of equipment for carbon arc and xenon power supplies and igniters used in motion picture projection. [Lighting]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To RANDY CARTWRIGHT, DAVID B. COONS, LEM DAVIS, THOMAS HAHN, JAMES HOUSTON, MARK KIMBALL, DYLAN W. KOHLER, PETER NYE, MICHAEL SHANTZIS, DAVID F. WOLF and the WALT DISNEY FEATURE ANIMATION DEPARTMENT for the design and development of the \"CAPS\" production system for feature film animation. [Systems]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To GEORGE WORRALL for the design, development and manufacture of the Worrall geared camera head for motion picture production. [Stage Operations]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To ROBERT W. STOKER, JR., for the design and development of a cobweb gun, for applying non-toxic cobweb effects on motion picture sets with both safety and ease of operation. [Stage Operations]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To JAMES DOYLE for the design and development of the Dry Fogger, which uses liquid nitrogen to produce a safe, dense, low-hanging fog effects. [Stage Operations]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To DICK CAVDEK, STEVE HAMERSKI and OTTO NEMENZ INTERNATIONAL, INCORPORATED for the opto-mechanical design and development of the Canon/Nemenz Zoom Lens. [Lenses and Filters]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To KEN ROBINGS and CLAIRMONT CAMERA for the opto-mechanical design and development of the Canon/Clairmont Camera Zoom Lens. [Lenses and Filters]"
"1991 (64th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To CENTURY PRECISION OPTICS for the opto-mechanical design and development of the Canon/Century Precision Optics Zoom Lens. [Lenses and Filters]"
"1991 (64th)"|"AWARD OF COMMENDATION"|"To Pete Comandini, Richard T. Dayton, Donald Hagans and Richard T. Ryan of YCM Laboratories for the creation and development of a motion picture film restoration process using liquid gate and registration correction on a contact printer."
"1991 (64th)"|"MEDAL OF COMMENDATION"|"To Richard J. Stumpf for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"1991 (64th)"|"MEDAL OF COMMENDATION"|"To Joseph Westheimer for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"1992 (65th)"|"ACTOR IN A LEADING ROLE"|"Al Pacino -- Scent of a Woman  {\"Lt. Col. Frank Slade\"}"
"1992 (65th)"|"ACTOR IN A SUPPORTING ROLE"|"Gene Hackman -- Unforgiven  {\"Little Bill Daggett\"}"
"1992 (65th)"|"ACTRESS IN A LEADING ROLE"|"Emma Thompson -- Howards End  {\"Margaret Schlegel\"}"
"1992 (65th)"|"ACTRESS IN A SUPPORTING ROLE"|"Marisa Tomei -- My Cousin Vinny  {\"Mona Lisa Vito\"}"
"1992 (65th)"|"ART DIRECTION"|"Howards End  -- Art Direction: Luciana Arrighi; Set Decoration: Ian Whittaker"
"1992 (65th)"|"COSTUME DESIGN"|"Bram Stoker's Dracula  -- Eiko Ishioka"
"1992 (65th)"|"DIRECTING"|"Unforgiven  -- Clint Eastwood"
"1992 (65th)"|"DOCUMENTARY (Feature)"|"The Panama Deception  -- Barbara Trent and David Kasper, Producers"
"1992 (65th)"|"DOCUMENTARY (Short Subject)"|"Educating Peter  -- Thomas C. Goodwin and Gerardine Wurzburg, Producers"
"1992 (65th)"|"FILM EDITING"|"Unforgiven  -- Joel Cox"
"1992 (65th)"|"FOREIGN LANGUAGE FILM"|"Indochine  -- France"
"1992 (65th)"|"MAKEUP"|"Bram Stoker's Dracula --  Greg Cannom, Michèle Burke, Matthew W. Mungle"
"1992 (65th)"|"MUSIC (Original Score)"|"Aladdin --  Alan Menken"
"1992 (65th)"|"BEST PICTURE"|"Unforgiven  -- Clint Eastwood, Producer"
"1992 (65th)"|"SHORT FILM (Animated)"|"Mona Lisa Descending a Staircase --  Joan C. Gratz"
"1992 (65th)"|"SHORT FILM (Live Action)"|"Omnibus --  Sam Karmann"
"1992 (65th)"|"SOUND"|"The Last of the Mohicans --  Chris Jenkins, Doug Hemphill, Mark Smith, Simon Kaye"
"1992 (65th)"|"SOUND EFFECTS EDITING"|"Bram Stoker's Dracula  -- Tom C. McCarthy, David E. Stone"
"1992 (65th)"|"VISUAL EFFECTS"|"Death Becomes Her  -- Ken Ralston, Doug Chiang, Doug Smythe, Tom Woodruff, Jr."
"1992 (65th)"|"WRITING (Screenplay Based on Material Previously Produced or Published)"|"Howards End  -- Ruth Prawer Jhabvala"
"1992 (65th)"|"WRITING (Screenplay Written Directly for the Screen)"|"The Crying Game  -- Neil Jordan"
"1992 (65th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Audrey Hepburn"
"1992 (65th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Elizabeth Taylor"
"1992 (65th)"|"HONORARY AWARD"|"To Federico Fellini in recognition of his place as one of the screen's master storytellers."
"1992 (65th)"|"GORDON E. SAWYER AWARD"|"Erich Kaestner"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To CHADWELL O'CONNOR of the O'Connor Engineering Laboratories for the concept and engineering of the fluid-damped camera head for motion picture photography. [Stage Operations]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To LOREN CARPENTER, ROB COOK, ED CATMULL, TOM PORTER, PAT HANRAHAN, TONY APODACA and DARWYN PEACHEY for the development of \"RenderMan\" software which produces images used in motion pictures from 3D computer descriptions of shape and appearance. [Special Photographic]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To CLAUS WIEDEMANN and ROBERT ORBAN for the design and DOLBY LABORATORIES for the development of the Dolby Labs 'Container.' [Sound]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To KEN BATES for the design and development of the Bates Decelerator System for accurately and safely arresting the descent of stunt persons in high freefalls. [Stage Operations]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To AL MAYER for the camera design; IAIN NEIL and GEORGE KRAEMER for the optical design; HANS SPIRAWSKI and BILL ESLICK for the opto-mechanical design; and DON EARL for technical support in developing the Panavision System 65 Studio Sync Sound Reflex Camera for 65mm motion picture photography. [Camera]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To DOUGLAS TRUMBULL for the concept; GEOFFREY H. WILLIAMSON for the movement design; ROBERT D. AUGUSTE for the electronic design and EDMUND M. DI GIULIO for the camera system design of the CP-65 Showscan Camera System for 65mm motion picture photography. [Camera]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To ARNOLD & RICHTER, OTTO BLASCHEK and the ENGINEERING DEPARTMENT OF ARRI, AUSTRIA for the design and development of the Arriflex 765 Camera System for 65mm motion picture photography. [Camera]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To IRA TIFFEN of the Tiffen Manufacturing Corporation for the production of the Ultra Contrast Filter Series for motion picture photography. [Lenses and Filters]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To ROBERT R. BURTON of Audio Rents, Incorporated, for the development of the Model S-27 4-Band Splitter/Combiner. [Sound]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To IAIN NEIL for the optical design and KAZ FUDANO for the mechanical design of the Panavision Slant Focus Lens for motion picture photography. [Lenses and Filters]"
"1992 (65th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To TOM BRIGHAM for the original concept and pioneering work; and DOUGLAS SMYTHE and the COMPUTER GRAPHICS DEPARTMENT OF INDUSTRIAL LIGHT & MAGIC for the development and the first implementation in feature motion pictures of the \"MORF\" system for digital metamorphosis of high resolution images. [Special Photographic]"
"1992 (65th)"|"AWARD OF COMMENDATION"|"To The International Alliance of Theatrical Stage Employees in recognition of the indispensable contributions of its members, who represent the full spectrum of artists, technicians and craftspeople, to the art of motion pictures on the occasion of the one-hundredth anniversary of the Alliance's founding."
"1992 (65th)"|"MEDAL OF COMMENDATION"|"To Petro Vlahos in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"1993 (66th)"|"ACTOR IN A LEADING ROLE"|"Tom Hanks -- Philadelphia  {\"Andrew Beckett\"}"
"1993 (66th)"|"ACTOR IN A SUPPORTING ROLE"|"Tommy Lee Jones -- The Fugitive  {\"Samuel Gerard\"}"
"1993 (66th)"|"ACTRESS IN A LEADING ROLE"|"Holly Hunter -- The Piano  {\"Ada\"}"
"1993 (66th)"|"ACTRESS IN A SUPPORTING ROLE"|"Anna Paquin -- The Piano  {\"Flora\"}"
"1993 (66th)"|"ART DIRECTION"|"Schindler's List  -- Art Direction: Allan Starski; Set Decoration: Ewa Braun"
"1993 (66th)"|"CINEMATOGRAPHY"|"Schindler's List  -- Janusz Kaminski"
"1993 (66th)"|"COSTUME DESIGN"|"The Age of Innocence  -- Gabriella Pescucci"
"1993 (66th)"|"DIRECTING"|"Schindler's List  -- Steven Spielberg"
"1993 (66th)"|"DOCUMENTARY (Short Subject)"|"Defending Our Lives  -- Margaret Lazarus, Renner Wunderlich"
"1993 (66th)"|"FILM EDITING"|"Schindler's List  -- Michael Kahn"
"1993 (66th)"|"FOREIGN LANGUAGE FILM"|"Belle Epoque  -- Spain"
"1993 (66th)"|"MAKEUP"|"Mrs. Doubtfire --  Greg Cannom, Ve Neill, Yolanda Toussieng"
"1993 (66th)"|"MUSIC (Original Score)"|"Schindler's List --  John Williams"
"1993 (66th)"|"MUSIC (Original Song)"|"\"Streets Of Philadelphia\" from Philadelphia  -- Music and Lyric by Bruce Springsteen"
"1993 (66th)"|"BEST PICTURE"|"Schindler's List  -- Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers"
"1993 (66th)"|"SHORT FILM (Animated)"|"The Wrong Trousers --  Nick Park"
"1993 (66th)"|"SHORT FILM (Live Action)"|"Black Rider (Schwarzfahrer) --  Pepe Danquart"
"1993 (66th)"|"SOUND"|"Jurassic Park --  Gary Summers, Gary Rydstrom, Shawn Murphy, Ron Judkins"
"1993 (66th)"|"SOUND EFFECTS EDITING"|"Jurassic Park  -- Gary Rydstrom, Richard Hymns"
"1993 (66th)"|"VISUAL EFFECTS"|"Jurassic Park  -- Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri"
"1993 (66th)"|"WRITING (Screenplay Based on Material Previously Produced or Published)"|"Schindler's List  -- Steven Zaillian"
"1993 (66th)"|"WRITING (Screenplay Written Directly for the Screen)"|"The Piano  -- Jane Campion"
"1993 (66th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Paul Newman"
"1993 (66th)"|"HONORARY AWARD"|"To Deborah Kerr, in appreciation for a full career's worth of elegant and beautifully crafted performances."
"1993 (66th)"|"GORDON E. SAWYER AWARD"|"Petro Vlahos"
"1993 (66th)"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To PANAVISION for the Auto Panatar anamorphic photographic lens. [Lenses and Filters]"
"1993 (66th)"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To MANFRED G. MICHELSON of Technical Film Systems, Incorporated, for the design and development of the first sprocket-driven film transport system for color print film processors which permits transport speeds in excess of 600 feet per minute. [Laboratory]"
"1993 (66th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To MARK LEATHER, LES DITTERT, DOUGLAS SMYTHE and GEORGE JOBLOVE for the concept and development of the Digital Motion Picture Retouching System for removing visible rigging and dirt/damage artifacts from original motion picture imagery. [Systems]"
"1993 (66th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To FRITZ GABRIEL BAUER for the design, development and manufacture of the Moviecam Compact Modular 35mm motion picture camera system. [Camera]"
"1993 (66th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To WALLY MILLS for the concept; and GARY STADLER and GUSTAVE PARADA for the design of the Cinemills Lamp Protection System. [Lighting]"
"1993 (66th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To GARY NUZZI, DAVID JOHNSRUD and WILLIAM BLETHEN for the design and development of the Unilux H3000 Strobe Lighting System. [Lighting]"
"1993 (66th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To HARRY J. BAKER for the design and development of the Ronford-Baker Metal Tripods for motion picture photography. [Stage Operations]"
